rep,copies,method,drift
26,2,chebyshev,0.0
26,5,P,1.2877968667002357
26,5,CN,1.1327129814126207
26,5,P-w,1.3009422161153041e-14
26,5,CN-w,1.1403494380972428
26,5,analytic,0.7953412853595608
26,5,chebyshev,0.0
27,2,P,0.940455915630641
27,2,CN,2.0597198579828913
27,2,P-w,8.842328942275719e-15
27,2,CN-w,1.990302820919516
27,2,analytic,0.35456141620956216
27,2,chebyshev,0.0
27,5,P,1.644271076178689
27,5,CN,2.062905137183365
27,5,P-w,1.30288263297738e-14
27,5,CN-w,1.943192199541027
27,5,analytic,0.7090084328620186
27,5,chebyshev,0.0
28,2,P,0.6332370052077919
28,2,CN,1.5087544039903156
28,2,P-w,2.3726005662262395e-15
28,2,CN-w,1.5067669189481394
28,2,analytic,0.3614248305938952
28,2,chebyshev,0.0
28,5,P,1.4379770910552576
28,5,CN,1.508838090174616
28,5,P-w,5.938475552501958e-15
28,5,CN-w,1.543990911743707
28,5,analytic,0.7212346912337118
28,5,chebyshev,0.0
29,2,P,1.2002506357024034
29,2,CN,1.8225373995494727
29,2,P-w,6.691218750832311e-15
29,2,CN-w,1.8443763941893092
29,2,analytic,0.3862654675232576
29,2,chebyshev,0.0
29,5,P,1.9652324832978478
29,5,CN,1.8259529112476258
29,5,P-w,1.3950176257310713e-14
29,5,CN-w,1.8720587410486291
29,5,analytic,0.7733708792456745
29,5,chebyshev,0.0
