tag,sweep,chords,x,y
wedge_narrow_P,50,150,1.4660013275578248,3.2418576756285735
wedge_narrow_P,51,153,1.4629091699266465,3.245384943715896
wedge_narrow_P,52,156,1.4601818244690639,3.2484960653801456
wedge_narrow_P,53,159,1.4577762507137055,3.2512401374977578
wedge_narrow_P,54,162,1.455654486095885,3.253660464504953
wedge_narrow_P,55,165,1.4537830468671336,3.2557952417887432
wedge_narrow_P,56,168,1.4521323996853044,3.25767815845159
wedge_narrow_P,57,171,1.4506764955463822,3.259338928962007
wedge_narrow_P,58,174,1.449392358702928,3.2608037620811214
wedge_narrow_P,59,177,1.4482597240818473,3.26209577446537
wedge_narrow_P,60,180,1.447260717479546,3.2632353554724283
wedge_narrow_P,61,183,1.4463795734875944,3.2642404889274013
wedge_narrow_P,62,186,1.4456023866974725,3.2651270369271033
wedge_narrow_CN,0,0,3.5,1.5
wedge_narrow_CN,1,3,3.4257709369217664,1.5268373729033826
wedge_narrow_CN,2,6,3.358572733034611,1.5804203321374084
wedge_narrow_CN,3,9,3.286739481008578,1.6376992174692537
wedge_narrow_CN,4,12,3.209951474809774,1.698928958262952
wedge_narrow_CN,5,15,3.127866956433093,1.7643820678327906
wedge_narrow_CN,6,18,3.040120594850434,1.834349856309892
wedge_narrow_CN,7,21,2.9463218600431897,1.9091437271672114
wedge_narrow_CN,8,24,2.8460532848823648,1.9890965631733424
wedge_narrow_CN,9,27,2.7388686071205335,2.0745642079435647
wedge_narrow_CN,10,30,2.6242907832262508,2.1659270496820207
wedge_narrow_CN,11,33,2.5018098652211562,2.2635917141637365
wedge_narrow_CN,12,36,2.3708807310702755,2.3679928744913847
wedge_narrow_CN,13,39,2.2309206585242287,2.479595185681424
wedge_narrow_CN,14,42,2.0813067316153346,2.5988953526898175
wedge_narrow_CN,15,45,1.9642751076044789,2.721942038463838
wedge_narrow_CN,16,48,1.8703748346407523,2.826174586326221
wedge_narrow_CN,17,51,1.793608972382495,2.911387346198833
wedge_narrow_CN,18,54,1.730850926827823,2.9810509454681764
wedge_narrow_CN,19,57,1.6795446278300716,3.0380027103260976
wedge_narrow_CN,20,60,1.6376004230100942,3.084562227124699
wedge_narrow_CN,21,63,1.603309968380784,3.1226258167242
wedge_narrow_CN,22,66,1.5752766492671804,3.153743769676039
wedge_narrow_CN,23,69,1.5523586976383499,3.179183487950155
wedge_narrow_CN,24,72,1.5336226890789308,3.1999811049035594
