m,n,rep,method,sweeps,chords,seconds,relC_final,converged
500,20,27,CN,196,98000,9.54855469998438,0.4928699073950013,1
500,20,27,CN-rand,30,15000,1.2596608999883756,0.5893808255355213,0
500,20,27,CN-greedy,30,15000,1.7284259999869391,0.9609998514757324,0
500,20,27,analytic,0,0,0,0.5061949679586771,1
500,20,28,P,97,48500,3.0287957999971695,0.7936249046462358,1
500,20,28,CN,259,129500,15.490912900015246,0.49569007046744873,1
500,20,28,CN-rand,30,15000,1.9714327999972738,0.4744205877479306,0
500,20,28,CN-greedy,30,15000,2.566793800040614,0.9621191980828223,0
500,20,28,analytic,0,0,0,0.4723346221956888,1
500,20,29,P,86,43000,3.300865500001237,0.7968474743286458,1
500,20,29,CN,254,127000,17.04099559999304,0.430946996259735,1
500,20,29,CN-rand,30,15000,2.332168199995067,0.5965678545094382,0
500,20,29,CN-greedy,30,15000,2.7229591999785043,0.9677149082336196,0
500,20,29,analytic,0,0,0,0.442320552031631,1
