m,n,rep,method,sweeps,chords,seconds,relC_final,relC@5,relC@30,converged
500,20,6,chebyshev,0,0,0.016927700024098158,1.0,nan,nan,1
500,20,7,P,4,2080,0.1036974000162445,0.7653234522711744,0.7653234522711744,0.7653234522711744,1
500,20,7,CN,11,5720,0.44061269995290786,0.5203769045395734,0.49537971955494436,0.5203769045395734,1
500,20,7,HYB,5,2600,0.14109150000149384,0.5966165401356894,0.5966165401356894,0.5966165401356894,1
500,20,7,CN-rand,30,15600,1.1422205999842845,0.42036161310684345,0.439271736077277,0.42036161310684345,0
500,20,7,CN-greedy,30,15600,1.517744299955666,0.38642700221135184,0.18002937365281596,0.38642700221135184,0
500,20,7,analytic,0,0,0.0014995000092312694,0.07964160247808737,nan,nan,1
500,20,7,chebyshev,0,0,0.016012699983548373,1.0,nan,nan,1
500,20,8,P,4,2080,0.09854770003585145,0.764245203091094,0.764245203091094,0.764245203091094,1
500,20,8,CN,13,6760,0.4884091999847442,0.5499664327584061,0.4646072306335498,0.5499664327584061,1
500,20,8,HYB,5,2600,0.13594900001771748,0.5345135638346792,0.5345135638346792,0.5345135638346792,1
500,20,8,CN-rand,30,15600,1.1087217000313103,0.32632692598778235,0.44734150205093787,0.32632692598778235,0
500,20,8,CN-greedy,30,15600,1.5415364000364207,0.41193356966943473,0.17312587794521125,0.41193356966943473,0
500,20,8,analytic,0,0,0.0017378999618813396,0.07798786730908142,nan,nan,1
500,20,8,chebyshev,0,0,0.016645400028210133,1.0,nan,nan,1
500,20,9,P,4,2080,0.0909273000434041,0.7562005529401821,0.7562005529401821,0.7562005529401821,1
500,20,9,CN,14,7280,0.4840365999843925,0.606955745274255,0.46454815686549283,0.606955745274255,1
500,20,9,HYB,5,2600,0.1448130999924615,0.516228149331756,0.516228149331756,0.516228149331756,1
500,20,9,CN-rand,30,15600,1.2738557999837212,0.5076028571096955,0.4259148107938107,0.5076028571096955,0
500,20,9,CN-greedy,30,15600,1.8501643000054173,0.36661149223425626,0.16177575323323382,0.36661149223425626,0
500,20,9,analytic,0,0,0.0012177000171504915,0.07670373159268931,nan,nan,1
500,20,9,chebyshev,0,0,0.01589629997033626,1.0,nan,nan,1
